거래일자,거래유형,거래가격(USD),주식수량,거래금액(KRW),거래금액(USD),드로우다운(%),거래사유,포트폴리오 가치(KRW),포트폴리오 가치(USD),현금잔고(KRW)
2024-04-30,BUY,52.37041091918945,58.753082569295586,4000000.0,3076.923076923077,16.156665005709932,고점대비 16.2% 하락 (매수단계: 3),101036051.29457198,5218.271183860799,94252298.75555295
2024-05-01,BUY,51.238399505615234,60.05111608893787,4000000.0,3076.923076923077,17.968978686275037,고점대비 18.0% 하락 (매수단계: 3),100889417.24747844,8182.39883994269,90252298.75555295
2024-05-02,SELL,53.135013580322266,58.753082569295586,4058399.5922669116,3121.8458402053166,16.156665005709932,드로우다운 7.6% 회복,105341554.91198748,81031.96531691345,94310698.34781986
2024-05-02,SELL,53.135013580322266,60.05111608893787,4148061.929568989,3190.8168688992223,17.968978686275037,드로우다운 16.9% 회복,109489616.84155646,84222.78218581266,98458760.27738886
2024-05-02,BUY,53.135013580322266,28.953818486108077,2000000.0,1538.4615384615386,14.932560861218791,고점대비 14.9% 하락 (매수단계: 2),101283155.31972057,3711.073109485932,96458760.27738886
2024-05-03,SELL,56.30266189575195,27.69608179903539,2027172.0681786328,1559.363129368179,11.069471495130388,드로우다운 10.9% 회복,103597934.10518569,79690.71854245053,98485932.3455675
2024-05-03,SELL,56.30266189575195,28.953818486108077,2119230.1686586104,1630.1770528143156,14.932560861218791,드로우다운 34.0% 회복,105717164.2738443,81320.89559526485,100605162.51422611
2024-05-03,BUY,56.30266189575195,13.662422758182379,1000000.0,769.2307692307693,9.861258303282312,고점대비 9.9% 하락 (매수단계: 1),101570762.03700706,1511.999632908427,99605162.51422611
2024-05-06,SELL,58.149627685546875,13.662422758182379,1032804.235672102,794.4647966708477,9.861258303282312,드로우다운 30.0% 회복,102668046.26266144,78975.42020204726,100637966.74989821
2024-05-06,BUY,58.149627685546875,13.228472818269859,1000000.0,769.2307692307693,6.904325777476463,고점대비 6.9% 하락 (매수단계: 1),101635242.02698934,1536.3655977624082,99637966.74989821
2024-05-07,BUY,58.149627685546875,13.228472818269859,1000000.0,769.2307692307693,6.904325777476463,고점대비 6.9% 하락 (매수단계: 1),101635242.02698934,2305.5963669931775,98637966.74989821
2024-05-08,BUY,58.04039764404297,13.253368351271453,1000000.0,769.2307692307693,7.079199543034342,고점대비 7.1% 하락 (매수단계: 1),101629611.8533159,3070.4962333982267,97637966.74989821
2024-05-09,SELL,58.358150482177734,13.192428895332563,1000851.4759090218,769.8857506992475,6.649972819875197,드로우다운 1.2% 회복,102652316.32493003,78963.32024994618,98638818.22580723
2024-05-09,SELL,58.358150482177734,13.228472818269859,1003585.9695913872,771.9892073779902,6.904325777476463,드로우다운 4.8% 회복,103655902.29452142,79735.30945732417,99642404.19539863
2024-05-09,SELL,58.358150482177734,13.228472818269859,1003585.9695913872,771.9892073779902,6.904325777476463,드로우다운 4.8% 회복,104659488.26411282,80507.29866470216,100645990.16499002
2024-05-09,SELL,58.358150482177734,13.253368351271453,1005474.6840310006,773.4420646392313,7.079199543034342,드로우다운 7.2% 회복,105664962.94814381,81280.74072934139,101651464.84902102
2024-05-09,BUY,58.358150482177734,13.181205416468574,1000000.0,769.2307692307693,6.570487520624802,고점대비 6.6% 하락 (매수단계: 1),101651464.84902102,769.2307692307693,100651464.84902102
2024-05-10,SELL,58.755348205566406,13.181205416468574,1006806.2082178218,774.466314013709,6.570487520624802,드로우다운 9.7% 회복,102665077.26545665,78973.13635804357,101658271.05723883
2024-05-10,BUY,58.755348205566406,13.092097872341318,1000000.0,769.2307692307693,5.934586805000606,고점대비 5.9% 하락 (매수단계: 1),101658271.05723883,769.2307692307693,100658271.05723883
2024-05-13,SELL,59.142616271972656,13.092097872341318,1006591.1968566899,774.3009206589923,5.934586805000606,드로우다운 10.4% 회복,102671453.45095222,78978.04111611709,101664862.25409552
2024-05-13,BUY,59.142616271972656,13.006370325137329,1000000.0,769.2307692307693,5.314583149226489,고점대비 5.3% 하락 (매수단계: 1),101664862.25409552,769.2307692307693,100664862.25409552
2024-05-14,SELL,60.24483871459961,13.006370325137329,1018636.6872503288,783.5666825002529,5.314583149226489,드로우다운 33.2% 회복,101683498.94134586,0.0,101683498.94134586
2024-05-30,BUY,62.161312103271484,12.374751162794157,1000000.0,769.2307692307693,5.237656982406712,고점대비 5.2% 하락 (매수단계: 1),101683498.94134586,769.2307692307693,100683498.94134586
2024-05-31,BUY,62.091800689697266,12.388604625512267,1000000.0,769.2307692307693,5.3436242503725895,고점대비 5.3% 하락 (매수단계: 1),101682380.69896612,1537.6013520155836,99683498.94134586
2024-06-03,SELL,62.69752883911133,12.374751162794157,1008626.213277947,775.8663179061131,5.237656982406712,드로우다운 15.6% 회복,102710506.73242147,79008.08210186267,100692125.1546238
2024-06-03,SELL,62.69752883911133,12.388604625512267,1009755.3645197243,776.7348957844033,5.3436242503725895,드로우다운 17.3% 회복,101701880.51914354,0.0,101701880.51914354
2024-06-24,BUY,71.37628173828125,10.77712022113093,1000000.0,769.2307692307693,6.527963433789235,고점대비 6.5% 하락 (매수단계: 1),101701880.51914354,769.2307692307692,100701880.51914354
2024-06-25,SELL,73.75946044921875,10.77712022113093,1033388.9445190773,794.9145727069825,6.527963433789235,드로우다운 47.8% 회복,101735269.46366261,0.0,101735269.46366261
2024-07-11,BUY,79.09527587890625,9.725369317991262,1000000.0,769.2307692307693,6.570125604136402,고점대비 6.6% 하락 (매수단계: 1),101735269.46366261,769.2307692307692,100735269.46366261
2024-07-12,SELL,80.38114166259766,9.725369317991262,1016257.1755316973,781.7362888705364,6.570125604136402,드로우다운 23.1% 회복,102767783.81472601,79052.14139594308,101751526.63919431
2024-07-12,BUY,80.38114166259766,9.569791537169742,1000000.0,769.2307692307693,5.051219736178412,고점대비 5.1% 하락 (매수단계: 1),101751526.63919431,769.2307692307692,100751526.63919431
2024-07-15,SELL,80.97920989990234,9.569791537169742,1007440.404862811,774.9541575867777,5.051219736178412,드로우다운 14.0% 회복,101758967.04405712,0.0,101758967.04405712
2024-07-17,BUY,73.91197204589844,20.814781365949383,2000000.0,1538.4615384615386,12.692810185386705,고점대비 12.7% 하락 (매수단계: 2),101758967.04405712,1538.4615384615386,99758967.04405712
2024-07-18,BUY,72.80553436279297,21.131107022651896,2000000.0,1538.4615384615386,13.999769831341528,고점대비 14.0% 하락 (매수단계: 2),101729027.70804757,3053.8928184541887,97758967.04405712
2024-07-19,BUY,70.83189392089844,43.439796772330176,4000000.0,3076.923076923077,16.331097164608714,고점대비 16.3% 하락 (매수단계: 3),101621405.77584414,6048.029793682328,93758967.04405712
2024-07-22,SELL,73.92194366455078,20.814781365949383,2000269.824180747,1538.6690955236515,12.692810185386705,드로우다운 0.1% 회복,103964675.41893095,79972.8272453315,95759236.86823787
2024-07-22,SELL,73.92194366455078,21.131107022651896,2030668.253767487,1562.052502898067,13.999769831341528,드로우다운 9.4% 회복,105995343.67269844,81534.87974822956,97789905.12200536
2024-07-22,SELL,73.92194366455078,43.439796772330176,4174500.472744844,3211.154209803726,16.331097164608714,드로우다운 22.4% 회복,110169844.14544328,84746.0339580333,101964405.5947502
2024-07-22,BUY,73.92194366455078,20.81197357908903,2000000.0,1538.4615384615386,12.681031389904177,고점대비 12.7% 하락 (매수단계: 2),101964405.5947502,1538.4615384615386,99964405.5947502
2024-07-23,BUY,73.12451171875,21.038930753872762,2000000.0,1538.4615384615386,13.622983557180014,고점대비 13.6% 하락 (매수단계: 2),101942830.62238693,3060.3269443359495,97964405.5947502
2024-07-24,BUY,65.23989868164062,94.32642107364168,8000000.0,6153.846153846154,22.93654113102211,고점대비 22.9% 하락 (매수단계: 4),101513858.9806929,8884.194912263616,89964405.5947502
2024-07-25,BUY,63.066898345947266,195.1529666193456,16000000.0,12307.692307692309,25.50335875912958,고점대비 25.5% 하락 (매수단계: 5),101129171.59472382,20895.97384613355,73964405.5947502
2024-07-26,SELL,64.87109375,195.1529666193456,16457722.311100446,12659.786393154189,25.50335875912958,드로우다운 8.4% 회복,118364013.87294993,91049.24144073071,90422127.90585065
2024-07-26,BUY,64.87109375,94.86268533658189,8000000.0,6153.846153846154,23.37218533425509,고점대비 23.4% 하락 (매수단계: 4),101906291.56184949,14987.818196922184,82422127.90585065
2024-07-29,SELL,65.24987030029297,94.32642107364168,8001222.763229724,6154.786740945941,22.93654113102211,드로우다운 0.1% 회복,110021280.62480286,84631.75432677144,90423350.66908038
2024-07-29,SELL,65.24987030029297,94.86268533658189,8046711.2889143145,6189.777914549472,23.37218533425509,드로우다운 1.9% 회복,118067991.91371717,90821.53224132089,98470061.95799468
2024-07-29,BUY,65.24987030029297,94.31200591702209,8000000.0,6153.846153846154,22.92476233553958,고점대비 22.9% 하락 (매수단계: 4),102020057.86157313,8884.61223352188,90470061.95799468
2024-07-30,BUY,62.58843994140625,196.64481682583022,16000000.0,12307.692307692309,26.06852915828655,고점대비 26.1% 하락 (매수단계: 5),101548953.32755135,20829.916438120516,74470061.95799468
2024-07-31,SELL,68.0608139038086,94.31200591702209,8344637.448697336,6418.951883613336,22.92476233553958,드로우다운 14.5% 회복,112261213.61842549,86354.77970648115,82814699.40669203
2024-07-31,SELL,68.0608139038086,196.64481682583022,17398948.168070767,13383.80628313136,26.06852915828655,드로우다운 24.8% 회복,129660161.78649625,99738.5859896125,100213647.57476279
2024-07-31,BUY,68.0608139038086,45.20843787251414,4000000.0,3076.923076923077,19.604385677237033,고점대비 19.6% 하락 (매수단계: 3),103916576.16972815,5925.3296884348865,96213647.57476279
2024-08-01,BUY,63.156612396240234,194.87575157569717,16000000.0,12307.692307692309,25.397385648127997,고점대비 25.4% 하락 (매수단계: 5),103361532.64524853,17806.06543883519,80213647.57476279
2024-08-02,BUY,58.55144119262695,420.4061268859816,32000000.0,24615.384615384617,30.837161441865156,고점대비 30.8% 하락 (매수단계: 6),101673665.45752876,41123.09067905074,48213647.57476279
2024-08-05,BUY,53.4478759765625,693.8988787434555,48213647.57476279,37087.42121135599,36.865656213639056,고점대비 36.9% 하락 (매수단계: 7),97013887.96684206,74626.06766680158,0.0
